,account_id,client_id,msisdn,imsi,sim,type,vip_status
0,0,0,7362330297,695295206706688,2883616917338230,2,Platinum
1,1,0,7997104279,457470703129840,3751389217707540,3,Gold
2,2,0,3924671279,759668646923167,2395410334359040,1,Platinum
3,3,0,7042855909,345797729497238,9009227816915430,4,Platinum
4,4,0,7183305197,734794108075660,5671433642528130,4,Platinum
5,5,1,7224052815,623777262374887,1421977341782460,1,Gold
6,6,1,3726824735,493251546230658,8115717655616050,1,Gold
7,7,1,7999793973,388693915480909,5020401223611300,4,Bronze
8,8,1,8834867843,428878106016071,1675021153380970,4,Platinum
9,9,1,1394032022,400650024423038,3362070205638400,1,Bronze
10,10,2,3342143709,443021308058128,6847789349113960,1,Silver
11,11,2,4356223348,673511759447244,9400443302937540,3,Silver
12,12,2,7866943397,746604410814322,7682779742419000,4,Platinum
13,13,2,9699494622,316330295140639,4255038517231770,4,Silver
14,14,2,5288812404,608540513787114,8290735109894570,1,Bronze
15,15,3,8452807226,429840426981031,3315742055983330,3,Bronze
16,16,4,2363371675,360261705196152,1162973183448760,2,Silver
17,17,4,2298848091,511389838327689,8205122856716070,1,Silver
18,18,4,8336762578,436430867521245,7463872462148370,1,Bronze
19,19,4,7911466381,377204386400829,2559319869706890,4,Bronze
20,20,4,6998841977,445908270951503,2433068888763210,2,Gold
21,21,5,2919074476,773695203995927,5498041737367080,3,Silver
22,22,5,5376474642,427463785811581,4547095507488790,4,Platinum
23,23,5,6959446839,599398464636253,5743499653108670,1,Gold
24,24,5,4023834960,397894287109877,6776536113085790,2,Platinum
25,25,5,9866706787,750249565974290,5028528969163570,2,Gold
26,26,7,6519958359,691008504237665,3884413319940320,4,Silver
27,27,7,5827028483,648899671773778,4654110823961060,4,Platinum
28,28,7,6011305106,662634616436106,9776216072400500,3,Silver
29,29,7,6727882511,690775214308469,6598267560591060,3,Platinum
30,30,7,5458464980,655373467348222,7343852752793520,3,Platinum
31,31,8,8976597583,726643541128933,8102984187583470,3,Silver
32,32,8,1486983488,577687920466599,6868379637858980,1,Gold
33,33,8,4688241634,608248901369382,2529789060860660,3,Bronze
34,34,8,3062584525,501081339521845,5651656128350280,4,Platinum
35,35,8,7868777829,658070882166431,7646204887419350,3,Bronze
36,36,9,4083320455,332748074004322,1608373639827830,2,Gold
37,37,9,2936688970,310454305013861,9518295613473440,2,Gold
38,38,9,8870000898,448955620667967,6666540623250150,3,Platinum
39,39,10,2113812975,561605495877855,6161807624318160,4,Gold
40,40,10,8876809486,449670071078049,5346323820346590,3,Bronze
41,41,10,7494508867,740626356344647,8492845049347440,3,Platinum
42,42,11,4386498671,394117906366175,1817798550286000,3,Silver
43,43,11,7068125201,678250461156566,3521915868218890,2,Silver
44,44,11,1921047776,604078843862962,9566791161954970,1,Silver
45,45,12,8875493818,405840725372517,7465227086408500,4,Bronze
46,46,12,1998683813,436212158206023,1892031959681560,1,Silver
47,47,12,6604810172,300072903104685,6446549643579350,3,Bronze
48,48,12,8371999405,401685248484202,7573867951990440,3,Silver
49,49,12,3311040129,497640313048697,8706604757433540,4,Platinum
50,50,13,6126037178,500629340281279,2389720912476120,4,Silver
51,51,13,7117516048,332310655385853,1211197807064430,3,Platinum
52,52,13,7227904363,753165690110938,8119510603546190,3,Platinum
53,53,13,9883185865,706522284616925,7688469164306890,4,Gold
54,54,13,1565629251,508225843642403,5330068329241270,1,Platinum
55,55,14,7511222441,419896443688546,5286720352943970,4,Silver
56,56,14,7841914628,506636555999303,2291375191264780,1,Bronze
57,57,14,8526824649,562232462575093,2657936515767850,1,Bronze
58,58,16,9618797728,513270738390139,8246574359043410,2,Silver
59,59,16,5394085834,694420369468335,8813620073896130,2,Bronze
60,60,16,5958135698,599835883249657,1967619993338470,2,Silver
61,61,16,6176382446,546849907772552,1442296705671240,3,Gold
62,62,17,2704322658,585240681975613,8626411001289060,2,Platinum
63,63,17,2045874144,660155910918825,5794975374959660,4,Platinum
64,64,17,2356366158,484488593212958,6958597613511780,1,Platinum
65,65,17,3804794106,486282009557543,6346849298109170,3,Bronze
66,66,17,1879331098,690760633687234,5679019538374830,3,Platinum
67,67,18,8801761149,524177042651729,4711817817393070,1,Silver
68,68,18,1099468774,333666653111864,8052592165145480,3,Gold
69,69,19,4844670517,472911580406224,4214128864606830,4,Bronze
70,70,20,7802906932,528974066844421,6313796466189780,2,Gold
71,71,20,4878596268,735785590278109,4228758806599530,4,Platinum
72,72,20,7929366985,616749403214707,7101104085562070,3,Bronze
73,73,20,6492871022,583607652457908,8326768115180050,2,Gold
74,74,20,1673175767,716043429909529,2316842127334620,1,Platinum
75,75,21,9512815885,476600477437970,4304075915408460,2,Bronze
76,76,21,7948470937,583840942385633,6657058253442660,2,Silver
77,77,21,1492638492,683528645837185,9061516313312100,3,Silver
78,78,22,6805969832,407240464958448,8416986090838940,4,Silver
79,79,22,3899884032,669720798071968,8304281352485510,3,Gold
80,80,22,3403382414,429169718425268,5874898206242970,4,Bronze
81,81,22,7042559785,359066094294479,2996592580540310,2,Gold
82,82,22,8205571777,760383097331259,6876236458556670,4,Gold
83,83,24,6774532451,343989732537230,1840285312988740,3,Platinum
84,84,24,2276324912,672928534621488,6084594041546350,4,Silver
85,85,26,1768775949,644715033637530,7677361245380540,3,Silver
86,86,27,3141366343,304563734268014,9975887688191300,1,Gold
87,87,27,1943696285,642105102541871,6274241437816530,1,Bronze
88,88,28,6131106244,431663004564365,5169951741817180,4,Gold
89,89,28,6848682930,721394517689015,9630458502128150,2,Bronze
90,90,28,6513039035,650139024530865,4895775791774980,3,Bronze
91,91,30,6797126245,300801934139806,9569771335322880,4,Silver
92,92,30,4618408059,766259087466574,8514248112638940,2,Bronze
